Company,Description,Revenue_Breakup,Market_Cap,Current_Price,High_Low,Stock_P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value
HINDUNILVR,"Hindustan Unilever is in the FMCG business comprising primarily of Home Care, Beauty & Personal Care and Foods & Refreshment segments. The Company has manufacturing facilities across the country and sells primarily in India.[1]","Business Segments & Brand Portfolio | The company has a portfolio of over 50 brands, spanning 16 FMCG categories, including 19 brands with a turnover of more than Rs. 1,000 Cr PA. | [1] | The products are split into the following segments:",,2271,,522,215,185,272,201,100
KOTAKBANK,"Kotak Mahindra Bank is a diversified financial services group providing a wide range of banking and financial services including Retail Banking, Treasury and Corporate Banking, Investment Banking, Stock Broking, Vehicle Finance, Advisory services, Asset Management, Life Insurance and General Insurance.[1]","Market Share | The company ranks | 4th | in both deposit and gross advances market share. Its securities broking business held an | 11.8% market share | in FY24, while the asset management business had a | 6.5% market share. | | [1]",,2170,,300,557,9,724,153,500
HCLTECH,"HCL Tech is a leading global IT services company, which is ranked amongst the top five Indian IT services companies in terms of revenues. Since its inception into the global landscape after its IPO in 1999, HCL Tech has focused on transformational outsourcing, and offers an integrated portfolio of services including software-led IT solutions, remote infrastructure management, engineering and R&D services and BPO. The company leverages its extensive global offshore infrastructure and network of offices in 46 countries to provide multi-service delivery in key industry verticals.","Fastest Growing IT Company | The company has emerged as the fastest-growing IT services brand with a ~16% YoY growth in brand value among the top 10 IT companies globally, as per the 2024 Brand Finance Global 500 and IT Services Top 25 Report. It is India’s | 3rd largest IT services company | in annual revenue terms. | [1] | | [2] |",,1625,,368,134,332,375,287,200
AXISBANK,"Incorporated in December 1993, Axis Bank Limited is a private sector bank.It has the third-largest network of branches among private sector banks and an international presence through branches in DIFC (Dubai) and Singapore along with representative offices in Abu Dhabi, Sharjah, Dhaka and Dubai and an offshore banking unit in GIFT City.[1]",Market Leadership | - 3rd largest private sector bank in India | [1] | | - 4th largest issuer of credit cards | [2] | | - 19.8% market share in FY24 | [3],,1119,,131,553,9,692,180,200
BAJAJFINSV,"Bajaj Finserv Ltd. is the holding company for the various financial services businesses under the Bajaj group. It serves millions of customers by providing solutions for asset acquisition through financing, asset protection through general insurance, family and income protection in the form of life and health insurance, and retirement and savings solutions.[1]",Revenue Split | Life Insurance: 25% in FY22 vs 55% in FY18 | General Insurance: 28% in FY22 vs 0% in FY18 | Retail Financing: 45% in FY22 vs 43% in FY18 | Investment:1% in FY22 vs 2% in FY18. | [1] | | [2] | | [3],,1945,,199,520,5,260,198,100
BAJAJ-AUTO,"Bajaj Auto, the flagship company of Bajaj Group, is a two-wheeler and three-wheeler manufacturing company that exports to 79 countries across several countries in Latin America, Southeast Asia, and many more. Its headquarter is in Pune, India. It has acquired 48% of the KTM Brand which manufactures sports and super sports two-wheelers, which was 14% in 2007 when the company first acquired KTM. [1]",Market Leadership | The company is the | 2nd-largest player | in the domestic motorcycle segment in terms of volume. It is the largest | 3W producer in the world and the largest exporter of 2W and 3W from India | . | [1] | | [2],,8006,,271,979,100,385,298,100
NESTLEIND,Nestle India Limited is a subsidiary of Nestle which is a Swiss MNC. The company operates in the Food segment.,"Business Overview | Nestle India a subsidiary of Nestle S A (holds 62% stake) is primarily involved in the Food business which incorporates product groups viz. Milk Products and Nutrition, Prepared dishes and Cooking aids, Powdered and Liquid Beverages and Confectionery. It owns brands such as NESCAFÉ, MAGGI, MILKYBAR, KIT KAT, BAR-ONE, MILKMAID, NESTEA etc. | [1]",,2255,,693,414,75,169,135,100
INDUSINDBK,"IndusInd Bank Limited was incorporated in 1994 as a commercial bank under the Banking Regulation Act, 1949. The Bank is publicly held and provides a wide range of banking products and financial services to corporate and retail clients besides undertaking treasury operations. The Bank operates in India including at the International Financial Service Centres in India.[1]","Market Position | IndusInd Bank is the | 5th largest private sector bank in India | , serving over 40 million customers nationwide. | [1] | | [2] | It is also India’s | 2nd largest microfinance lender | , operating through its subsidiary Bharat Financial Inclusion Limited (BFIL), serving over 13 Mn customers. | [3] |",,637,,687,836,259,793,152,100
SBIN,"State Bank of India is a Fortune 500 company. It is an Indian Multinational, Public Sector banking and financial services statutory body headquartered in Mumbai. It is the largest and oldest bank in India with over 200 years of history.[1]","Market Share | As of FY24, the bank has a deposit market share of about 22.55% and a net advance share of 19.06% in India. | [1]",,773,,945,488,177,605,173,100
DRREDDY,"Dr. Reddy's Laboratories Ltd is a leading India-based pharmaceutical company which offers a portfolio of products and services, including Active Pharmaceutical Ingredients (APIs), Custom Pharmaceutical services (CPS), generics, biosimilars and differentiated formulations.","Global Generics Segment (~83% of revenues in FY22) | Co. offers 400+ high-quality generic drugs, keeping costs reasonable by leveraging its integrated operations. The company benefits from its expertise in active ingredients, product development skills, a keen understanding of regulations and intellectual property rights & streamlined supply chain. | [1] | | Top revenue contributors of the segment are nervous system drugs (14%), gastrointestinal (13%) & anti-infective (10%) | | [2] | | In FY22, co. filed 7 new ANDA’s with US FDA | [3]",,1178,,190,322,68,252,192,100
ULTRACEMCO,UltraTech Cement is engaged in the manufacturing and sale of Cement and Cement related product primarily across globe.[1],"Market Leadership | The company is the 3rd largest cement company in the world, excluding China. It is also the largest cement manufacturer in India with | a 22% share | of the grey cement capacity. | [1] |",,11421,,530,2086,61,155,122,100
TECHM,"Tech Mahindra Ltd provides comprehensive range of IT services, including IT enabled service, application development and maintenance, consulting and enterprise business solutions, etc. to a diversified base of corporate customers in a wide range of industries.[1]","Parentage | The company is a subsidiary of the Mahindra Group, a leading global conglomerate with operations in 100+ countries. The group manages 150 companies across 22 major industries, including renewable energy, agriculture, logistics, hospitality, real estate, aerospace, automotive components, and consulting services, etc. | [1] |",,1456,,433,227,275,114,881,500
